Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C),Notes
Adenocalymma comosum,Bignoniaceae,1,33.23,78.5,619,0.1,172.7,37.4,
Adenocalymma comosum,Bignoniaceae,1,34.4,78.47,934,0.1,187.7,40.2,
Adenocalymma comosum,Bignoniaceae,1,34.33,73.93,908,0.1,NA,36.8,
Adenocalymma comosum,Bignoniaceae,1,35.37,70.67,987,1.2,NA,36.2,
Adenocalymma comosum,Bignoniaceae,1,33.23,78.67,138,0.1,580.2,30.2,
Adenocalymma comosum,Bignoniaceae,1,34.27,73.97,912,0.1,118.9,39.6,
Adenocalymma comosum,Bignoniaceae,1,3330,75.93,719,0.1,715.7,32.6,
Adenocalymma comosum,Bignoniaceae,2,35.37,70.67,988,0.1,618.9,39.2,
Adenocalymma comosum,Bignoniaceae,2,33.23,78.5,594,0.1,228.7,36.8,
Adenocalymma comosum,Bignoniaceae,2,33.23,78.67,127,0.1,NA,29.6,
Adenocalymma comosum,Bignoniaceae,2,33.8,75.93,142,0.1,828.5,31.8,
Adenocalymma comosum,Bignoniaceae,2,34.33,73.93,922,0.6,556.1,38.4,
Adenocalymma comosum,Bignoniaceae,2,34.27,73.97,960,1.2,179.3,38.8,
Adenocalymma comosum,Bignoniaceae,2,34.4,78.47,860,0.6,126,41.6,
Adenocalymma comosum,Bignoniaceae,3,35.37,70.67,867,0.1,127.2,40.2,
Adenocalymma comosum,Bignoniaceae,3,34.27,73.97,649,0.3,NA,41.4,
Adenocalymma comosum,Bignoniaceae,3,34.4,78.47,854,0.1,NA,42,
Adenocalymma comosum,Bignoniaceae,3,33.23,78.5,826,0.1,20.4,42.8,
Adenocalymma comosum,Bignoniaceae,3,33.23,78.67,212,0.1,365.5,31.6,
Adenocalymma comosum,Bignoniaceae,3,34.33,73.93,421,0.1,246.7,37.2,
Adenocalymma comosum,Bignoniaceae,3,33.3,75.83,930,0.1,NA,33.8,
Adenocalymma comosum,Bignoniaceae,3,33.8,75.93,709,0.6,585.2,34.2,
Adenocalymma comosum,Bignoniaceae,4,34.4,78.47,965,1000,NA,45.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,34.27,73.97,859,1000,29.2,42.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,33.23,78.5,965,1000,NA,45,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,33.23,78.67,175,5000,NA,30.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,34.33,73.93,817,1000,138.5,38.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,35.37,70.67,990,6000,88.9,39.4,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,33.8,75.93,623,1000,554.7,34.4,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,33.23,78.5,907,1000,NA,40.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,35.37,70.67,947,4000,NA,41.4,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,33.3,75.83,931,1000,352.3,33.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,34.4,78.47,978,1000,NA,41.8,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,34.33,73.93,968,7000,130.2,38.6,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,33.23,78.67,494,1000,NA,34,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,5,34.27,73.97,953,0.1,36.7,42.2,
Adenocalymma comosum,Bignoniaceae,6,33.3,75.83,975,0.1,NA,35.2,
Adenocalymma comosum,Bignoniaceae,6,33.23,78.5,942,0.1,NA,41,
Adenocalymma comosum,Bignoniaceae,6,34.4,78.47,852,0.1,231.8,39.8,
Adenocalymma comosum,Bignoniaceae,6,35.37,70.67,663,0.1,419.2,35,
Adenocalymma comosum,Bignoniaceae,6,33.8,75.93,623,0.5,217.4,36,
Adenocalymma comosum,Bignoniaceae,6,34.33,73.93,720,0.1,NA,32.8,
Adenocalymma comosum,Bignoniaceae,6,34.27,73.97,675,0.4,NA,36.8,
Adenocalymma comosum,Bignoniaceae,6,33.23,78.67,634,0.1,571.3,30.6,
Adenocalymma comosum,Bignoniaceae,7,34.33,73.93,806,0.1,191.3,35.2,
Adenocalymma comosum,Bignoniaceae,7,33.3,75.83,962,0.1,386.4,37.4,
Adenocalymma comosum,Bignoniaceae,7,34.4,78.47,841,0.1,71,43.2,
Adenocalymma comosum,Bignoniaceae,7,35.37,70.67,999,0.1,NA,40,
Adenocalymma comosum,Bignoniaceae,7,33.23,78.5,869,0.1,60.4,41.2,
Adenocalymma comosum,Bignoniaceae,7,33.8,75.93,1024,0.5,470.9,38.8,
Adenocalymma comosum,Bignoniaceae,7,30.97,91.47,144,0.1,438.8,29.6,
Adenocalymma comosum,Bignoniaceae,7,50.2,78.67,526,0.1,520.5,34.4,Temeprature gage on ground
Adenocalymma comosum,Bignoniaceae,7,34.27,73.97,742,0.7,92.3,38.8,
Adenocalymma comosum,Bignoniaceae,8,34.4,78.47,988,0.1,72.2,44.2,
Adenocalymma comosum,Bignoniaceae,8,33.3,75.83,837,0.1,364.1,34.4,
Adenocalymma comosum,Bignoniaceae,8,33.8,75.93,873,0.1,383,33.8,
Adenocalymma comosum,Bignoniaceae,8,34.33,73.93,899,0.3,NA,38.8,
Adenocalymma comosum,Bignoniaceae,8,35.37,70.67,966,0.1,253,38.2,
Adenocalymma comosum,Bignoniaceae,8,33.23,78.67,340,0.1,567.5,33.4,
Adenocalymma comosum,Bignoniaceae,8,33.23,78.5,934,0.1,121.4,40.8,
Adenocalymma comosum,Bignoniaceae,8,30.97,91.47,218,1.3,536.5,31,
Adenocalymma comosum,Bignoniaceae,8,34.27,73.97,794,0.8,NA,38.4,
Brunfelsia lactea,Solanaceae,1,33.93,79.43,147,0.1,279,31.8,
Brunfelsia lactea,Solanaceae,1,32.87,76.2,953,0.1,100.4,41.8,
Brunfelsia lactea,Solanaceae,1,33.53,83,925,0.1,153.8,42.8,
Brunfelsia lactea,Solanaceae,1,32.1,84.8,376,0.1,53.2,35.4,
Brunfelsia lactea,Solanaceae,1,32.65,85.55,968,0.1,413.5,38,
Brunfelsia lactea,Solanaceae,2,32.65,85.55,940,0.1,909.9,38.6,
Brunfelsia lactea,Solanaceae,2,32.97,84.53,906,0.1,400.2,38.2,
Brunfelsia lactea,Solanaceae,2,32.87,76.2,1006,0.1,232.7,41.2,
Brunfelsia lactea,Solanaceae,2,32.1,84.8,143,0.1,147.1,32.4,
Brunfelsia lactea,Solanaceae,2,33.53,83,995,0.7,NA,39.2,
Brunfelsia lactea,Solanaceae,3,32.65,85.55,493,0.1,497.5,34.4,
Brunfelsia lactea,Solanaceae,3,32.87,76.2,682,0.1,210.3,35.6,
Brunfelsia lactea,Solanaceae,3,33.53,83,927,0.7,175.6,36.6,
Brunfelsia lactea,Solanaceae,3,32.1,84.8,134,0.1,149.3,31.6,
Brunfelsia lactea,Solanaceae,3b,32.97,84.53,639,0.1,368.1,37.6,
Brunfelsia lactea,Solanaceae,4,33.53,83,767,0.8,77,40,
Brunfelsia lactea,Solanaceae,4,32.97,84.53,578,0.1,212.6,40.4,
Brunfelsia lactea,Solanaceae,4,32.65,85.55,908,0.1,104.4,40.4,
Brunfelsia lactea,Solanaceae,4,32.87,76.2,959,0.1,NA,40.6,
Brunfelsia lactea,Solanaceae,4,32.1,84.8,325,0.1,NA,33.2,
Brunfelsia lactea,Solanaceae,5,32.87,76.2,863,0.1,NA,37,
Brunfelsia lactea,Solanaceae,5,32.1,84.8,183,0.1,NA,32.2,
Brunfelsia lactea,Solanaceae,5,32.65,85.55,502,0.1,NA,35.4,
Brunfelsia lactea,Solanaceae,5,32.97,84.53,963,0.1,NA,38.6,
Brunfelsia lactea,Solanaceae,5,33.53,83,1005,0.1,NA,36.4,
Brunfelsia lactea,Solanaceae,5,33.93,79.43,129,0.1,NA,31.8,
Brunfelsia lactea,Solanaceae,6,32.65,85.55,650,0.1,445.4,36.4,
Brunfelsia lactea,Solanaceae,6,32.87,76.2,911,0.1,508.2,38.6,
Brunfelsia lactea,Solanaceae,6,33.53,83,1010,0.1,NA,40.2,
Brunfelsia lactea,Solanaceae,6,33.93,79.43,100,0.1,425.7,32.2,
Brunfelsia lactea,Solanaceae,6,32.97,84.53,985,0.1,367.2,39.8,
Brunfelsia lactea,Solanaceae,6,32.1,84.8,255,0.1,NA,32,
Brunfelsia lactea,Solanaceae,7,32.1,84.8,109,0.1,349.3,30.8,
Brunfelsia lactea,Solanaceae,7,32.87,76.2,831,0.1,NA,37.6,
Brunfelsia lactea,Solanaceae,7,32.97,84.53,977,0.1,410,40,
Brunfelsia lactea,Solanaceae,7,32.65,85.55,937,0.1,409.4,38.8,
Brunfelsia lactea,Solanaceae,7,33.53,83,1000,0.1,426.1,41.6,
Brunfelsia lactea,Solanaceae,8,32.87,76.2,715,0.1,486.8,35.6,
Brunfelsia lactea,Solanaceae,8,32.65,85.55,623,0.1,419,36.8,
Brunfelsia lactea,Solanaceae,8,32.97,84.53,882,0.1,373.3,40.6,
Brunfelsia lactea,Solanaceae,8,33.53,83,918,0.1,428.6,38,
Brunfelsia lactea,Solanaceae,8,32.1,84.8,104,0.1,321.8,31,
Combretum rotundifolium,Combretaceae,1,32.97,78.17,998,0.1,NA,47,
Combretum rotundifolium,Combretaceae,1,34.97,73.53,589,0.1,NA,40,
Combretum rotundifolium,Combretaceae,1,34.87,69.63,1009,0.5,201.8,42,
Combretum rotundifolium,Combretaceae,1,33,86.2,943,0.4,NA,39.8,
Combretum rotundifolium,Combretaceae,1,34.53,81.53,956,0.1,245.5,40.6,
Combretum rotundifolium,Combretaceae,1,32.43,77.63,777,0.5,129.7,37,
Combretum rotundifolium,Combretaceae,1,33.87,77.67,961,0.1,NA,44.4,
Combretum rotundifolium,Combretaceae,1,34.05,74.45,972,0.1,158.3,39.6,
Combretum rotundifolium,Combretaceae,1,35.77,67.2,989,0.1,135.5,45,
Combretum rotundifolium,Combretaceae,1,32.77,74.3,959,0.4,210.7,36.2,
Combretum rotundifolium,Combretaceae,2,33.87,77.67,911,0.1,NA,40.2,
Combretum rotundifolium,Combretaceae,2,32.43,77.63,707,0.1,NA,39.2,
Combretum rotundifolium,Combretaceae,2,32.97,78.17,997,0.1,30.7,47.6,
Combretum rotundifolium,Combretaceae,2,34.97,73.53,658,0.1,170.2,36,
Combretum rotundifolium,Combretaceae,2,34.87,69.63,985,0.1,220.6,41.4,
Combretum rotundifolium,Combretaceae,2,34.05,74.45,931,0.6,208.3,40.6,
Combretum rotundifolium,Combretaceae,2,34.53,81.53,986,0.3,NA,42,
Combretum rotundifolium,Combretaceae,2,32.77,74.3,982,0.1,227.8,39,
Combretum rotundifolium,Combretaceae,2,33,86.2,951,0.5,140,40,
Combretum rotundifolium,Combretaceae,2,35.77,67.2,964,0.5,NA,39.8,
Combretum rotundifolium,Combretaceae,3,32.77,74.3,850,0.1,218,38.6,
Combretum rotundifolium,Combretaceae,3,32.43,77.63,160,0.3,283.6,30.6,
Combretum rotundifolium,Combretaceae,3,34.87,69.63,460,0.4,184.3,40.4,
Combretum rotundifolium,Combretaceae,3,33,86.2,817,0.3,291.2,36,
Combretum rotundifolium,Combretaceae,3,34.97,73.53,722,0.4,NA,38.6,
Combretum rotundifolium,Combretaceae,3,35.77,67.2,988,0.5,91.7,42.4,
Combretum rotundifolium,Combretaceae,3,33.87,77.67,984,0.1,106.6,46.6,
Combretum rotundifolium,Combretaceae,3,34.05,74.45,699,0.1,285.2,35,
Combretum rotundifolium,Combretaceae,3,34.53,81.53,996,0.1,231.3,41.8,
Combretum rotundifolium,Combretaceae,3,32.97,78.17,1004,0.1,34.8,46.8,
Combretum rotundifolium,Combretaceae,4,32.97,78.17,1002,0.1,NA,45.4,
Combretum rotundifolium,Combretaceae,4,33,86.2,942,0.6,260.4,36.4,
Combretum rotundifolium,Combretaceae,4,34.87,69.63,828,0.4,252.8,40.2,
Combretum rotundifolium,Combretaceae,4,35.77,67.2,989,0.1,96.3,37.8,
Combretum rotundifolium,Combretaceae,4,34.05,74.45,963,0.1,NA,42.4,
Combretum rotundifolium,Combretaceae,4,32.43,77.63,229,0.1,243.9,32.4,
Combretum rotundifolium,Combretaceae,4,28.73,99.63,213,0.1,125,28.6,
Combretum rotundifolium,Combretaceae,4,32.77,74.3,992,0.4,NA,41,
Combretum rotundifolium,Combretaceae,4,34.53,81.53,972,0.4,367.2,40.4,
Combretum rotundifolium,Combretaceae,4,33.87,77.67,957,0.1,NA,36.8,
Combretum rotundifolium,Combretaceae,4,34.97,73.53,338,0.4,84.9,36.8,
Combretum rotundifolium,Combretaceae,5,32.77,74.3,826,0.1,NA,33,
Combretum rotundifolium,Combretaceae,5,35.77,67.2,830,1,NA,34,
Combretum rotundifolium,Combretaceae,5,34.05,74.45,688,0.1,204.2,33.2,
Combretum rotundifolium,Combretaceae,5,34.87,69.63,138,0.7,233.7,35.2,
Combretum rotundifolium,Combretaceae,5,34.53,81.53,789,0.5,256.4,39,
Combretum rotundifolium,Combretaceae,5,33.87,77.67,965,0.1,195.7,40,
Combretum rotundifolium,Combretaceae,5,28.73,99.63,110,0.1,NA,28.2,
Combretum rotundifolium,Combretaceae,5,32.97,78.17,853,0.5,NA,41.8,
Combretum rotundifolium,Combretaceae,5,34.97,73.53,928,0.1,71.4,40.8,
Combretum rotundifolium,Combretaceae,5,33,86.2,892,0.1,NA,37.2,
Combretum rotundifolium,Combretaceae,5,32.43,77.63,130,0.1,303.6,30.4,
Combretum rotundifolium,Combretaceae,6,33,86.2,945,0.8,NA,37,
Combretum rotundifolium,Combretaceae,6,32.97,78.17,991,0.5,214.1,39.2,
Combretum rotundifolium,Combretaceae,6,33.87,77.67,846,0.1,205.5,37.4,
Combretum rotundifolium,Combretaceae,6,34.97,73.53,620,0.6,NA,35.4,
Combretum rotundifolium,Combretaceae,6,32.77,74.3,783,0.4,136.9,38.6,
Combretum rotundifolium,Combretaceae,6,34.87,69.63,996,0.5,162.8,40.8,
Combretum rotundifolium,Combretaceae,6,34.05,74.45,969,0.1,182.7,40.6,
Combretum rotundifolium,Combretaceae,6,32.43,77.63,237,0.1,212.2,31.6,
Combretum rotundifolium,Combretaceae,6,35.77,67.2,935,0.1,156.2,36.8,
Combretum rotundifolium,Combretaceae,6,34.53,81.53,963,0.5,NA,38.6,
Combretum rotundifolium,Combretaceae,7,32.77,74.3,475,0.5,NA,32.6,
Combretum rotundifolium,Combretaceae,7,33.87,77.67,936,0.1,102.7,44.2,
Combretum rotundifolium,Combretaceae,7,33,86.2,983,0.4,223.8,40,
Combretum rotundifolium,Combretaceae,7,35.77,67.2,935,0.2,NA,41.4,
Combretum rotundifolium,Combretaceae,7,34.87,69.63,761,0.6,207.5,41.6,
Combretum rotundifolium,Combretaceae,7,34.53,81.53,929,0.1,481.1,40,
Combretum rotundifolium,Combretaceae,7,34.05,74.45,875,0.8,NA,34.6,
Combretum rotundifolium,Combretaceae,7,32.97,78.17,901,0.1,175.2,46.2,
Combretum rotundifolium,Combretaceae,7,34.97,73.53,971,0.4,119.5,41,
Combretum rotundifolium,Combretaceae,7,32.43,77.63,190,0.1,NA,32.2,
Combretum rotundifolium,Combretaceae,8,34.87,69.63,969,0.5,73.6,44,
Combretum rotundifolium,Combretaceae,8,33,86.2,966,0.1,32.3,41.2,
Combretum rotundifolium,Combretaceae,8,32.43,77.63,197,0.3,NA,31.2,
Combretum rotundifolium,Combretaceae,8,34.05,74.45,510,0.5,NA,33.2,
Combretum rotundifolium,Combretaceae,8,35.77,67.2,760,0.7,162.6,35,
Combretum rotundifolium,Combretaceae,8,32.97,78.17,935,0.1,31.3,46,
Combretum rotundifolium,Combretaceae,8,34.53,81.53,996,0.1,226.5,45,
Combretum rotundifolium,Combretaceae,8,33.87,77.67,681,0.2,112.5,35.6,
Combretum rotundifolium,Combretaceae,8,34.97,73.53,346,0.5,70.1,32.8,
Gardenia taitensis,Rubiaceae,1,35.83,70.03,1039,0.6,23.5,42.8,
Gardenia taitensis,Rubiaceae,1,32.17,79.97,179,0.1,143.8,30.6,
Gardenia taitensis,Rubiaceae,1,34.1,78.17,1011,0.1,19.1,46.8,
Gardenia taitensis,Rubiaceae,1,34.87,70.57,1012,0.1,61.9,46.6,
Gardenia taitensis,Rubiaceae,1,32.6,80.8,104,0.3,NA,31.2,
Gardenia taitensis,Rubiaceae,1,32.37,88.93,586,0.1,61.3,39.8,
Gardenia taitensis,Rubiaceae,1,33.2,81.17,974,0.1,93.8,38,
Gardenia taitensis,Rubiaceae,1,34.17,77.6,121,0.1,29.1,33.2,
Gardenia taitensis,Rubiaceae,1,32.93,83.5,133,0.1,50.3,31.6,
Gardenia taitensis,Rubiaceae,1,33.4,82.27,152,0.1,110.2,34,
Gardenia taitensis,Rubiaceae,2,32.37,88.93,203,0.1,47,32.6,
Gardenia taitensis,Rubiaceae,2,35.83,70.03,1032,0.1,18.3,43.8,
Gardenia taitensis,Rubiaceae,2,33.2,81.17,643,0.1,62.8,37.4,
Gardenia taitensis,Rubiaceae,2,30.77,97.8,557,0.1,70.8,34,
Gardenia taitensis,Rubiaceae,2,34.87,70.57,1022,0.4,NA,44.4,
Gardenia taitensis,Rubiaceae,2,33.4,82.27,117,0.3,68.8,32.4,
Gardenia taitensis,Rubiaceae,2,34.17,77.6,521,0.1,NA,33.4,
Gardenia taitensis,Rubiaceae,2,32.93,83.5,124,0.3,35.2,32.8,
Gardenia taitensis,Rubiaceae,2,34.1,78.17,827,0.1,NA,35.8,
Gardenia taitensis,Rubiaceae,2,32.17,79.97,180,0.1,84.3,31.2,
Gardenia taitensis,Rubiaceae,3,30.77,97.8,207,0.1,NA,29.8,
Gardenia taitensis,Rubiaceae,3,35.83,70.03,1016,0.1,102.6,41,
Gardenia taitensis,Rubiaceae,3,34.1,78.17,484,0.1,150.3,34.6,
Gardenia taitensis,Rubiaceae,3,32.6,80.8,100,0.5,147,31.8,
Gardenia taitensis,Rubiaceae,3,33.2,81.17,528,0.8,171.2,35.8,
Gardenia taitensis,Rubiaceae,3,32.17,79.97,129,0.1,NA,33,
Gardenia taitensis,Rubiaceae,3,34.87,70.57,130,0.1,245.3,32.6,
Gardenia taitensis,Rubiaceae,3,32.93,83.5,100,0.1,100.8,31,
Gardenia taitensis,Rubiaceae,3,34.17,77.6,106,0.1,42.6,32.8,
Gardenia taitensis,Rubiaceae,3,33.4,82.27,100,0.1,152.1,32.2,
Gardenia taitensis,Rubiaceae,4,35.83,70.03,708,1000,330,36.8,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,32.37,88.93,100,1000,223.4,32.6,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,32.17,79.97,176,1000,248.5,32.6,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,33.2,81.17,292,1000,NA,34.2,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,34.87,70.57,678,9000,324.1,35,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,33.4,82.27,106,1000,NA,33.8,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,30.77,97.8,270,1000,229.7,37.2,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,34.1,78.17,249,1000,NA,33.8,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,4,34.17,77.6,509,6000,120.8,32.6,wind gage switched to cm2
Gardenia taitensis,Rubiaceae,5,34.1,78.17,732,0.7,345.1,39.4,
Gardenia taitensis,Rubiaceae,5,30.77,97.8,128,0.1,218.2,33,
Gardenia taitensis,Rubiaceae,5,34.17,77.6,810,0.4,NA,35.4,
Gardenia taitensis,Rubiaceae,5,32.93,83.5,102,0.1,NA,31.6,
Gardenia taitensis,Rubiaceae,5,34.87,70.57,901,0.6,NA,39.4,
Gardenia taitensis,Rubiaceae,5,32.45,72.25,503,0.1,NA,33.2,
Gardenia taitensis,Rubiaceae,5,35.83,70.03,1014,0.1,282,39,
Gardenia taitensis,Rubiaceae,5,33.2,81.17,565,0.6,427.3,33.6,
Gardenia taitensis,Rubiaceae,5,32.17,79.97,192,0.1,NA,32.4,
Gardenia taitensis,Rubiaceae,6,34.1,78.17,1000,0.1,76.2,41.2,
Gardenia taitensis,Rubiaceae,6,34.87,70.57,1009,0.1,71.3,45,
Gardenia taitensis,Rubiaceae,6,32.17,79.97,184,0.1,117.1,32.8,
Gardenia taitensis,Rubiaceae,6,32.93,83.5,112,0.1,54.9,30.6,
Gardenia taitensis,Rubiaceae,6,34.17,77.6,985,0.1,84.3,41.8,
Gardenia taitensis,Rubiaceae,6,33.4,82.27,611,0.1,44.4,38.8,
Gardenia taitensis,Rubiaceae,6,32.45,72.25,880,0.1,46.6,41.6,
Gardenia taitensis,Rubiaceae,6,35.83,70.03,988,0.1,55.1,42.8,
Gardenia taitensis,Rubiaceae,6,33.2,81.17,880,0.7,36.5,37,
Gardenia taitensis,Rubiaceae,7,34.17,77.6,993,0.3,98.1,42.6,
Gardenia taitensis,Rubiaceae,7,32.17,79.97,186,0.1,135.8,32.2,
Gardenia taitensis,Rubiaceae,7,33.2,81.17,987,0.9,191.2,40.6,
Gardenia taitensis,Rubiaceae,7,33.4,82.27,782,0.3,143.7,40,
Gardenia taitensis,Rubiaceae,7,32.93,83.5,117,0.6,NA,31.4,
Gardenia taitensis,Rubiaceae,7,35.83,70.03,1006,0.4,27,45.8,
Gardenia taitensis,Rubiaceae,7,32.45,72.25,763,0.1,38.7,46.2,
Gardenia taitensis,Rubiaceae,7,34.1,78.17,1004,0.1,73.3,42.6,
Gardenia taitensis,Rubiaceae,7,34.87,70.57,1015,0.9,81,42.6,
Ginoria glabra,Lythraceae,1,32.35,84.95,379,0.1,563.9,31.2,
Ginoria glabra,Lythraceae,1,33.77,83.8,655,0.1,NA,36,
Ginoria glabra,Lythraceae,1,33.33,86.73,816,0.1,597.9,34.6,
Ginoria glabra,Lythraceae,1,33.47,77.4,770,0.7,NA,34.2,
Ginoria glabra,Lythraceae,1,32.55,82.35,310,0.1,NA,34.6,
Ginoria glabra,Lythraceae,1,34.07,86.13,995,0.1,540.1,35,
Ginoria glabra,Lythraceae,1,33.77,80.6,614,0.2,627.1,32.8,
Ginoria glabra,Lythraceae,1,34.07,83.27,846,0.1,NA,34,
Ginoria glabra,Lythraceae,1,34.6,75.9,365,0.1,300.8,32.8,
Ginoria glabra,Lythraceae,1,33.73,91.77,868,0.1,648.3,30.2,
Ginoria glabra,Lythraceae,1,33.77,85.9,910,0.1,NA,37.8,
Ginoria glabra,Lythraceae,2,34.07,83.27,548,0.1,657,35.2,
Ginoria glabra,Lythraceae,2,33.77,83.8,845,0.1,459.3,33.6,
Ginoria glabra,Lythraceae,2,32.35,84.95,305,0.1,599.2,30.8,
Ginoria glabra,Lythraceae,2,33.33,86.73,494,0.1,NA,36.2,
Ginoria glabra,Lythraceae,2,33.77,85.9,768,0.1,567,36.6,
Ginoria glabra,Lythraceae,2,33.77,80.6,265,0.4,789.9,33.4,
Ginoria glabra,Lythraceae,2,33.47,77.4,457,0.4,576.2,33.8,
Ginoria glabra,Lythraceae,2,32.55,82.35,163,0.1,NA,34,
Ginoria glabra,Lythraceae,2,34.6,75.9,600,0.1,319.5,34.8,
Ginoria glabra,Lythraceae,2,33.73,91.77,725,0.1,711.4,30.6,
