Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C)
Adenocalymma comosum,Bignoniaceae,1,33.23,78.50,619,0.1,172.7,37.4
Adenocalymma comosum,Bignoniaceae,1,34.40,78.47,934,0.1,187.7,40.2
Adenocalymma comosum,Bignoniaceae,1,34.33,73.93,908,0.1,NA,36.8
Adenocalymma comosum,Bignoniaceae,1,35.37,70.67,987,1.2,NA,36.2
Adenocalymma comosum,Bignoniaceae,1,33.23,78.67,138,0.1,580.2,30.2
Adenocalymma comosum,Bignoniaceae,1,34.27,73.97,912,0.1,118.9,39.6
Adenocalymma comosum,Bignoniaceae,1,33.80,75.93,719,0.1,715.7,32.6
Adenocalymma comosum,Bignoniaceae,2,35.37,70.67,988,0.1,618.9,39.2
Adenocalymma comosum,Bignoniaceae,2,33.23,78.50,594,0.1,228.7,36.8
Adenocalymma comosum,Bignoniaceae,2,33.23,78.67,127,0.1,NA,29.6
Adenocalymma comosum,Bignoniaceae,2,33.80,75.93,142,0.1,828.5,31.8
Adenocalymma comosum,Bignoniaceae,2,34.33,73.93,922,0.6,556.1,38.4
Adenocalymma comosum,Bignoniaceae,2,34.27,73.97,960,1.2,179.3,38.8
Adenocalymma comosum,Bignoniaceae,2,34.40,78.47,860,0.6,126,41.6
Adenocalymma comosum,Bignoniaceae,3,35.37,70.67,867,0.1,127.2,40.2
Adenocalymma comosum,Bignoniaceae,3,34.27,73.97,649,0.3,NA,41.4
Adenocalymma comosum,Bignoniaceae,3,34.40,78.47,854,0.1,NA,42
Adenocalymma comosum,Bignoniaceae,3,33.23,78.50,826,0.1,20.4,42.8
Adenocalymma comosum,Bignoniaceae,3,33.23,78.67,212,0.1,365.5,31.6
Adenocalymma comosum,Bignoniaceae,3,34.33,73.93,421,0.1,246.7,37.2
Adenocalymma comosum,Bignoniaceae,3,33.30,75.83,930,0.1,NA,33.8
Adenocalymma comosum,Bignoniaceae,3,33.80,75.93,709,0.6,585.2,34.2
Adenocalymma comosum,Bignoniaceae,4,34.40,78.47,965,0.1,NA,45.2
Adenocalymma comosum,Bignoniaceae,4,34.27,73.97,859,0.1,29.2,42.2
Adenocalymma comosum,Bignoniaceae,4,33.23,78.50,965,0.1,NA,45
Adenocalymma comosum,Bignoniaceae,4,33.23,78.67,175,0.5,NA,30.2
Adenocalymma comosum,Bignoniaceae,4,34.33,73.93,817,0.1,138.5,38.2
Adenocalymma comosum,Bignoniaceae,4,35.37,70.67,990,0.6,88.9,39.4
Adenocalymma comosum,Bignoniaceae,5,33.80,75.93,623,0.1,554.7,34.4
Adenocalymma comosum,Bignoniaceae,5,33.23,78.50,907,0.1,NA,40.2
Adenocalymma comosum,Bignoniaceae,5,35.37,70.67,947,0.4,NA,41.4
Adenocalymma comosum,Bignoniaceae,5,33.30,75.83,931,0.1,352.3,33.2
Adenocalymma comosum,Bignoniaceae,5,34.40,78.47,978,0.1,NA,41.8
Adenocalymma comosum,Bignoniaceae,5,34.33,73.93,968,0.7,130.2,38.6
Adenocalymma comosum,Bignoniaceae,5,33.23,78.67,494,0.1,NA,34
Adenocalymma comosum,Bignoniaceae,5,34.27,73.97,953,0.1,36.7,42.2
Adenocalymma comosum,Bignoniaceae,6,33.30,75.83,975,0.1,NA,35.2
Adenocalymma comosum,Bignoniaceae,6,33.23,78.50,942,0.1,NA,41
Adenocalymma comosum,Bignoniaceae,6,34.40,78.47,852,0.1,231.8,39.8
Adenocalymma comosum,Bignoniaceae,6,35.37,70.67,663,0.1,419.2,35
Adenocalymma comosum,Bignoniaceae,6,33.80,75.93,623,0.5,217.4,36
Adenocalymma comosum,Bignoniaceae,6,34.33,73.93,720,0.1,NA,32.8
Adenocalymma comosum,Bignoniaceae,6,34.27,73.97,675,0.4,NA,36.8
Adenocalymma comosum,Bignoniaceae,6,33.23,78.67,634,0.1,571.3,30.6
Adenocalymma comosum,Bignoniaceae,7,34.33,73.93,806,0.1,191.3,35.2
Adenocalymma comosum,Bignoniaceae,7,33.30,75.83,962,0.1,386.4,37.4
Adenocalymma comosum,Bignoniaceae,7,34.40,78.47,841,0.1,71,43.2
Adenocalymma comosum,Bignoniaceae,7,35.37,70.67,999,0.1,NA,40
Adenocalymma comosum,Bignoniaceae,7,33.23,78.50,869,0.1,60.4,41.2
Adenocalymma comosum,Bignoniaceae,7,33.80,75.93,1024,0.5,470.9,38.8
Adenocalymma comosum,Bignoniaceae,7,30.97,91.47,144,0.1,438.8,29.6
Adenocalymma comosum,Bignoniaceae,7,33.23,78.67,526,0.1,520.5,34.4
Adenocalymma comosum,Bignoniaceae,7,34.27,73.97,742,0.7,92.3,38.8
Adenocalymma comosum,Bignoniaceae,8,34.40,78.47,988,0.1,72.2,44.2
Adenocalymma comosum,Bignoniaceae,8,33.30,75.83,837,0.1,364.1,34.4
Adenocalymma comosum,Bignoniaceae,8,33.80,75.93,873,0.1,383,33.8
Adenocalymma comosum,Bignoniaceae,8,34.33,73.93,899,0.3,NA,38.8
Adenocalymma comosum,Bignoniaceae,8,35.37,70.67,966,0.1,253,38.2
Adenocalymma comosum,Bignoniaceae,8,33.23,78.67,340,0.1,567.5,33.4
Adenocalymma comosum,Bignoniaceae,8,33.23,78.50,934,0.1,121.4,40.8
Adenocalymma comosum,Bignoniaceae,8,30.97,91.47,218,1.3,536.5,31
Adenocalymma comosum,Bignoniaceae,8,34.27,73.97,794,0.8,NA,38.4
Bauhinia divaricata,Fabaceae,1,32.77,81.70,717,0.1,377.4,37.2
Bauhinia divaricata,Fabaceae,1,32.47,82.87,660,0.1,376.8,30.8
Bauhinia divaricata,Fabaceae,1,34.30,75.03,581,0.1,319,34.8
Bauhinia divaricata,Fabaceae,1,35.93,63.53,714,0.1,248.9,34.8
Bauhinia divaricata,Fabaceae,1,33.55,78.10,120,0.1,378.6,29.6
Bauhinia divaricata,Fabaceae,1,31.13,73.20,423,0.1,57,38.6
Bauhinia divaricata,Fabaceae,1,32.70,71.20,610,0.1,NA,36
Bauhinia divaricata,Fabaceae,2,32.70,71.20,967,0.1,305.4,38.2
Bauhinia divaricata,Fabaceae,2,35.93,63.53,600,0.1,217.4,35.4
Bauhinia divaricata,Fabaceae,2,31.13,73.20,316,0.1,NA,34.8
Bauhinia divaricata,Fabaceae,2,34.30,75.03,600,0.1,NA,36.2
Bauhinia divaricata,Fabaceae,2,33.55,78.10,122,0.1,305.9,30.2
Bauhinia divaricata,Fabaceae,2,32.77,81.70,610,0.1,284.7,31.8
Bauhinia divaricata,Fabaceae,3,33.55,78.10,125,0.1,NA,30.2
Bauhinia divaricata,Fabaceae,3,32.70,71.20,866,0.1,76.8,41.6
Bauhinia divaricata,Fabaceae,3,34.30,75.03,837,0.1,507.4,34.8
Bauhinia divaricata,Fabaceae,3,31.13,73.20,998,0.1,56.6,41.8
Bauhinia divaricata,Fabaceae,3,35.93,63.53,1011,0.1,NA,39.2
Bauhinia divaricata,Fabaceae,3,32.77,81.70,866,0.1,NA,31.6
Bauhinia divaricata,Fabaceae,4,35.93,63.53,1014,0.1,NA,40.8
Bauhinia divaricata,Fabaceae,4,31.13,73.20,968,0.1,NA,42.2
Bauhinia divaricata,Fabaceae,4,32.70,71.20,940,0.1,360.7,37.2
Bauhinia divaricata,Fabaceae,4,33.55,78.10,117,0.1,356,30
Bauhinia divaricata,Fabaceae,4,34.30,75.03,1006,0.1,NA,39.8
Bauhinia divaricata,Fabaceae,5,31.73,87.10,120,0.1,248.9,30.4
Bauhinia divaricata,Fabaceae,5,32.77,81.70,824,0.1,487.3,35.8
Bauhinia divaricata,Fabaceae,5,34.30,75.03,445,0.1,572.3,32.4
Bauhinia divaricata,Fabaceae,5,31.13,73.20,179,0.1,177.8,31.8
Bauhinia divaricata,Fabaceae,5,35.93,63.53,1006,0.1,NA,37.4
Bauhinia divaricata,Fabaceae,5,33.55,78.10,134,0.1,NA,29.8
Bauhinia divaricata,Fabaceae,5,32.70,71.20,705,0.1,NA,37.4
Bauhinia divaricata,Fabaceae,5,32.47,82.87,430,0.1,NA,29.2
Bauhinia divaricata,Fabaceae,6,32.70,71.20,737,0.1,445.3,37.6
Bauhinia divaricata,Fabaceae,6,35.93,63.53,994,0.1,401.2,42.8
Bauhinia divaricata,Fabaceae,6,32.77,81.70,576,0.1,NA,35
Bauhinia divaricata,Fabaceae,6,32.47,82.87,398,0.1,523.8,30.6
Bauhinia divaricata,Fabaceae,6,33.55,78.10,132,0.1,345.8,29.2
Bauhinia divaricata,Fabaceae,6,34.30,75.03,902,0.1,451,32.8
Bauhinia divaricata,Fabaceae,6,31.13,73.20,1000,0.1,NA,42.8
Bauhinia divaricata,Fabaceae,7,33.55,78.10,134,0.1,NA,30.2
Bauhinia divaricata,Fabaceae,7,32.70,71.20,914,0.1,NA,39.4
Bauhinia divaricata,Fabaceae,7,29.77,99.07,351,0.1,337.3,30.2
Bauhinia divaricata,Fabaceae,7,34.30,75.03,603,0.1,164.5,39.4
Bauhinia divaricata,Fabaceae,7,31.13,73.20,700,0.1,37.4,44.2
Bauhinia divaricata,Fabaceae,7,32.47,82.87,505,0.1,464,36.8
Bauhinia divaricata,Fabaceae,7,35.93,63.53,640,0.1,111.4,43.2
Bauhinia divaricata,Fabaceae,7,32.77,81.70,661,0.1,159.4,39.2
Bauhinia divaricata,Fabaceae,8,32.77,81.70,409,0.1,308,36.8
Bauhinia divaricata,Fabaceae,8,31.13,73.20,907,0.1,21,45.6
Bauhinia divaricata,Fabaceae,8,32.47,82.87,600,0.1,263.5,35.8
Bauhinia divaricata,Fabaceae,8,33.55,78.10,140,0.1,267.1,29.6
Bauhinia divaricata,Fabaceae,8,35.93,63.53,618,0.1,185.7,41.8
Bauhinia divaricata,Fabaceae,8,34.30,75.03,936,0.1,NA,38
Bauhinia divaricata,Fabaceae,8,31.73,87.10,105,0.1,300.8,30.4
Bauhinia divaricata,Fabaceae,8,32.70,71.20,930,0.1,45.3,41.8
Brunfelsia lactea,Solanaceae,1,33.93,79.43,147,0.1,279,31.8
Brunfelsia lactea,Solanaceae,1,32.87,76.20,953,0.1,100.4,41.8
Brunfelsia lactea,Solanaceae,1,33.53,83.00,925,0.1,153.8,42.8
Brunfelsia lactea,Solanaceae,1,32.10,84.80,376,0.1,53.2,35.4
Brunfelsia lactea,Solanaceae,1,32.65,85.55,968,0.1,413.5,38
Brunfelsia lactea,Solanaceae,2,32.65,85.55,940,0.1,909.9,38.6
Brunfelsia lactea,Solanaceae,2,32.97,84.53,906,0.1,400.2,38.2
Brunfelsia lactea,Solanaceae,2,32.87,76.20,1006,0.1,232.7,41.2
Brunfelsia lactea,Solanaceae,2,32.10,84.80,143,0.1,147.1,32.4
Brunfelsia lactea,Solanaceae,2,33.53,83.00,995,0.7,NA,39.2
Brunfelsia lactea,Solanaceae,3,32.65,85.55,493,0.1,497.5,34.4
Brunfelsia lactea,Solanaceae,3,32.87,76.20,682,0.1,210.3,35.6
Brunfelsia lactea,Solanaceae,3,33.53,83.00,927,0.7,175.6,36.6
Brunfelsia lactea,Solanaceae,3,32.10,84.80,134,0.1,149.3,31.6
Brunfelsia lactea,Solanaceae,3b,32.97,84.53,639,0.1,368.1,37.6
Brunfelsia lactea,Solanaceae,4,33.53,83.00,767,0.8,77,40
Brunfelsia lactea,Solanaceae,4,32.97,84.53,578,0.1,212.6,40.4
Brunfelsia lactea,Solanaceae,4,32.65,85.55,908,0.1,104.4,40.4
Brunfelsia lactea,Solanaceae,4,32.87,76.20,959,0.1,NA,40.6
Brunfelsia lactea,Solanaceae,4,32.10,84.80,325,0.1,NA,33.2
Brunfelsia lactea,Solanaceae,5,32.87,76.20,863,0.1,NA,37
Brunfelsia lactea,Solanaceae,5,32.10,84.80,183,0.1,NA,32.2
Brunfelsia lactea,Solanaceae,5,32.65,85.55,502,0.1,NA,35.4
Brunfelsia lactea,Solanaceae,5,32.97,84.53,963,0.1,NA,38.6
Brunfelsia lactea,Solanaceae,5,33.53,83.00,1005,0.1,NA,36.4
Brunfelsia lactea,Solanaceae,5,33.93,79.43,129,0.1,NA,31.8
Brunfelsia lactea,Solanaceae,6,32.65,85.55,650,0.1,445.4,36.4
Brunfelsia lactea,Solanaceae,6,32.87,76.20,911,0.1,508.2,38.6
Brunfelsia lactea,Solanaceae,6,33.53,83.00,1010,0.1,NA,40.2
Brunfelsia lactea,Solanaceae,6,33.93,79.43,100,0.1,425.7,32.2
Brunfelsia lactea,Solanaceae,6,32.97,84.53,985,0.1,367.2,39.8
Brunfelsia lactea,Solanaceae,6,32.10,84.80,255,0.1,NA,32
Brunfelsia lactea,Solanaceae,7,32.10,84.80,109,0.1,349.3,30.8
Brunfelsia lactea,Solanaceae,7,32.87,76.20,831,0.1,NA,37.6
Brunfelsia lactea,Solanaceae,7,32.97,84.53,977,0.1,410,40
Brunfelsia lactea,Solanaceae,7,32.65,85.55,937,0.1,409.4,38.8
Brunfelsia lactea,Solanaceae,7,33.53,83.00,1000,0.1,426.1,41.6
Brunfelsia lactea,Solanaceae,8,32.87,76.20,715,0.1,486.8,35.6
Brunfelsia lactea,Solanaceae,8,32.65,85.55,623,0.1,419,36.8
Brunfelsia lactea,Solanaceae,8,32.97,84.53,882,0.1,373.3,40.6
Brunfelsia lactea,Solanaceae,8,33.53,83.00,918,0.1,428.6,38
Brunfelsia lactea,Solanaceae,8,32.10,84.80,104,0.1,321.8,31
Cocculus laurifolius,Menispermaceae,1,33.20,80.47,1008,0.5,689.5,35.6
Cocculus laurifolius,Menispermaceae,1,32.73,74.43,989,0.1,563.1,39
Cocculus laurifolius,Menispermaceae,1,35.87,67.23,1015,0.1,NA,41
Cocculus laurifolius,Menispermaceae,1,32.73,81.90,111,0.1,168.5,30.8
Cocculus laurifolius,Menispermaceae,1,32.73,82.70,678,0.1,NA,39.8
Cocculus laurifolius,Menispermaceae,2,35.87,67.23,1010,0.1,403.1,38.8
Cocculus laurifolius,Menispermaceae,2,33.20,80.47,987,0.1,794.2,34.8
Cocculus laurifolius,Menispermaceae,2,32.73,81.90,915,0.1,NA,35.4
Cocculus laurifolius,Menispermaceae,2,32.73,82.70,967,0.1,456.8,38.2
Cocculus laurifolius,Menispermaceae,2,32.73,74.43,1045,0.1,540.9,40.6
Cocculus laurifolius,Menispermaceae,3,31.63,81.77,241,0.1,238.5,33
Cocculus laurifolius,Menispermaceae,3,35.87,67.23,953,0.1,364.4,41.4
Cocculus laurifolius,Menispermaceae,3,32.63,76.63,379,0.1,85,39.2
Cocculus laurifolius,Menispermaceae,3,32.73,81.90,850,0.6,46.4,40.2
Cocculus laurifolius,Menispermaceae,3,32.73,74.43,973,0.6,517,42
Cocculus laurifolius,Menispermaceae,3,32.20,78.10,118,0.1,520.1,30.6
Cocculus laurifolius,Menispermaceae,3,33.20,80.47,1024,0.1,612.3,35.4
Cocculus laurifolius,Menispermaceae,3,32.73,82.70,867,0.1,454.9,35.6
Cocculus laurifolius,Menispermaceae,4,32.20,78.10,153,0.1,NA,31.4
Cocculus laurifolius,Menispermaceae,4,33.03,78.53,104,0.4,NA,30.6
Cocculus laurifolius,Menispermaceae,4,30.67,98.30,443,0.1,167.9,36
Cocculus laurifolius,Menispermaceae,4,33.20,80.47,824,0.1,669.6,33.2
Cocculus laurifolius,Menispermaceae,4,32.73,74.43,1007,0.5,467.7,38.2
Cocculus laurifolius,Menispermaceae,4,35.87,67.23,985,0.1,379.2,38.8
Cocculus laurifolius,Menispermaceae,4,32.73,82.70,879,0.1,461.1,35.2
Cocculus laurifolius,Menispermaceae,4,32.73,81.90,982,0.1,86.2,41.2
Cocculus laurifolius,Menispermaceae,4,32.63,76.63,1005,0.1,NA,41.4
Cocculus laurifolius,Menispermaceae,5,32.63,76.63,586,0.5,214.3,37
Cocculus laurifolius,Menispermaceae,5,33.20,80.47,994,0.1,286.1,39.8
Cocculus laurifolius,Menispermaceae,5,32.73,74.43,622,0.1,262.4,40.6
Cocculus laurifolius,Menispermaceae,5,32.73,82.70,720,0.1,NA,39.2
Cocculus laurifolius,Menispermaceae,5,33.03,78.53,160,0.7,275.9,31.4
Cocculus laurifolius,Menispermaceae,5,32.20,78.10,203,0.1,357.2,31.4
Cocculus laurifolius,Menispermaceae,5,35.87,67.23,1022,0.1,NA,46.2
Cocculus laurifolius,Menispermaceae,6,32.73,74.43,1024,0.5,NA,39.8
Cocculus laurifolius,Menispermaceae,6,32.73,81.90,980,0.1,NA,42.4
Cocculus laurifolius,Menispermaceae,6,33.20,80.47,902,0.1,204.4,37
Cocculus laurifolius,Menispermaceae,6,32.73,82.70,931,0.1,NA,38.4
Cocculus laurifolius,Menispermaceae,6,32.20,78.10,952,0.4,326.9,33.6
Cocculus laurifolius,Menispermaceae,6,32.63,76.63,995,0.1,295.4,43.2
Cocculus laurifolius,Menispermaceae,6,33.03,78.53,578,0.5,NA,34
Cocculus laurifolius,Menispermaceae,6,35.87,67.23,952,0.4,150.1,42.6
Cocculus laurifolius,Menispermaceae,7,35.87,67.23,953,0.1,NA,39.2
Cocculus laurifolius,Menispermaceae,7,32.20,78.10,851,0.4,474.9,34.4
Cocculus laurifolius,Menispermaceae,7,32.73,74.43,1022,0.1,NA,39.2
Cocculus laurifolius,Menispermaceae,7,33.03,83.50,111,0.1,151.3,34.8
Cocculus laurifolius,Menispermaceae,7,32.63,76.63,910,0.1,NA,42.8
Cocculus laurifolius,Menispermaceae,7,32.73,81.90,904,0.1,150.7,34.6
Cocculus laurifolius,Menispermaceae,7,33.03,78.53,980,0.6,NA,38
Cocculus laurifolius,Menispermaceae,7,32.73,82.70,830,0.1,401.9,38.2
Cocculus laurifolius,Menispermaceae,7,33.20,80.47,683,0.1,297.3,35.4
Cocculus laurifolius,Menispermaceae,8,32.63,76.63,980,0.1,28.4,43
Cocculus laurifolius,Menispermaceae,8,33.20,80.47,765,0.1,546.7,41.6
Cocculus laurifolius,Menispermaceae,8,35.87,67.23,1009,0.1,196.8,40.8
Cocculus laurifolius,Menispermaceae,8,32.73,82.70,864,0.1,341.8,40.2
Cocculus laurifolius,Menispermaceae,8,33.03,78.53,580,0.3,403.9,34.6
Cocculus laurifolius,Menispermaceae,8,32.73,74.43,995,0.1,NA,40.8
Cocculus laurifolius,Menispermaceae,8,32.73,81.90,879,0.3,47.3,43.6
Cocculus laurifolius,Menispermaceae,8,32.20,78.10,959,0.5,NA,37.8
Combretum rotundifolium,Combretaceae,1,32.97,78.17,998,0.1,NA,47
Combretum rotundifolium,Combretaceae,1,34.97,73.53,589,0.1,NA,40
Combretum rotundifolium,Combretaceae,1,34.87,69.63,1009,0.5,201.8,42
Combretum rotundifolium,Combretaceae,1,33.00,86.20,943,0.4,NA,39.8
Combretum rotundifolium,Combretaceae,1,34.53,81.53,956,0.1,245.5,40.6
Combretum rotundifolium,Combretaceae,1,32.43,77.63,777,0.5,129.7,37
Combretum rotundifolium,Combretaceae,1,33.87,77.67,961,0.1,NA,44.4
Combretum rotundifolium,Combretaceae,1,34.05,74.45,972,0.1,158.3,39.6
Combretum rotundifolium,Combretaceae,1,35.77,67.20,989,0.1,135.5,45
Combretum rotundifolium,Combretaceae,1,32.77,74.30,959,0.4,210.7,36.2
Combretum rotundifolium,Combretaceae,2,33.87,77.67,911,0.1,NA,40.2
Combretum rotundifolium,Combretaceae,2,32.43,77.63,707,0.1,NA,39.2
Combretum rotundifolium,Combretaceae,2,32.97,78.17,997,0.1,30.7,47.6
Combretum rotundifolium,Combretaceae,2,34.97,73.53,658,0.1,170.2,36
Combretum rotundifolium,Combretaceae,2,34.87,69.63,985,0.1,220.6,41.4
Combretum rotundifolium,Combretaceae,2,34.05,74.45,931,0.6,208.3,40.6
Combretum rotundifolium,Combretaceae,2,34.53,81.53,986,0.3,NA,42
Combretum rotundifolium,Combretaceae,2,32.77,74.30,982,0.1,227.8,39
Combretum rotundifolium,Combretaceae,2,33.00,86.20,951,0.5,140,40
Combretum rotundifolium,Combretaceae,2,35.77,67.20,964,0.5,NA,39.8
Combretum rotundifolium,Combretaceae,3,32.77,74.30,850,0.1,218,38.6
Combretum rotundifolium,Combretaceae,3,32.43,77.63,160,0.3,283.6,30.6
Combretum rotundifolium,Combretaceae,3,34.87,69.63,460,0.4,184.3,40.4
Combretum rotundifolium,Combretaceae,3,33.00,86.20,817,0.3,291.2,36
Combretum rotundifolium,Combretaceae,3,34.97,73.53,722,0.4,NA,38.6
Combretum rotundifolium,Combretaceae,3,35.77,67.20,988,0.5,91.7,42.4
Combretum rotundifolium,Combretaceae,3,33.87,77.67,984,0.1,106.6,46.6
Combretum rotundifolium,Combretaceae,3,34.05,74.45,699,0.1,285.2,35
Combretum rotundifolium,Combretaceae,3,34.53,81.53,996,0.1,231.3,41.8
Combretum rotundifolium,Combretaceae,3,32.97,78.17,1004,0.1,34.8,46.8
Combretum rotundifolium,Combretaceae,4,32.97,78.17,1002,0.1,NA,45.4
Combretum rotundifolium,Combretaceae,4,33.00,86.20,942,0.6,260.4,36.4
Combretum rotundifolium,Combretaceae,4,34.87,69.63,828,0.4,252.8,40.2
Combretum rotundifolium,Combretaceae,4,35.77,67.20,989,0.1,96.3,37.8
Combretum rotundifolium,Combretaceae,4,34.05,74.45,963,0.1,NA,42.4
Combretum rotundifolium,Combretaceae,4,32.43,77.63,229,0.1,243.9,32.4
Combretum rotundifolium,Combretaceae,4,28.73,99.63,213,0.1,125,28.6
Combretum rotundifolium,Combretaceae,4,32.77,74.30,992,0.4,NA,41
Combretum rotundifolium,Combretaceae,4,34.53,81.53,972,0.4,367.2,40.4
Combretum rotundifolium,Combretaceae,4,33.87,77.67,957,0.1,NA,36.8
