Device Name,Device ID,Date & Time [GMT],Date & Time [Local],Latitude,Longitude,Altitude,Fix Status,DOP,Temp [C]
Solo,92700,19/3/2024 12:00,19/3/2024 21:30,-29.1687083,141.0003233,148.82,4 or more SV KF     (6 SVs),1.6,28
Solo,92700,19/3/2024 12:20,19/3/2024 21:50,-29.1966958,140.9992061,82.34,3-D least-squares   (4 SVs),6.8,27.5
Solo,92700,19/3/2024 12:40,19/3/2024 22:10,-29.2004939,140.9982286,144.89,3-D least-squares   (6 SVs),1.2,28.5
Solo,92700,19/3/2024 13:00,19/3/2024 22:30,-29.2310789,140.9993511,145.24,4 or more SV KF     (5 SVs),1.2,28
Solo,92700,19/3/2024 13:20,19/3/2024 22:50,-29.2314942,140.9992806,144.91,4 or more SV KF     (5 SVs),2.6,28
Solo,92700,19/3/2024 13:40,19/3/2024 23:10,-29.2333381,140.9985978,138.04,4 or more SV KF     (6 SVs),1.8,29
Solo,92700,19/3/2024 14:00,19/3/2024 23:30,-29.2333297,140.9985492,158.13,3-D least-squares   (6 SVs),1.4,28.5
Solo,92700,19/3/2024 14:20,19/3/2024 23:50,-29.2333536,140.9986361,137.01,4 or more SV KF     (5 SVs),1.4,28
Solo,92700,19/3/2024 14:40,20/3/2024 00:10,-29.2334156,140.9984839,147.23,4 or more SV KF     (5 SVs),1.4,28
Solo,92700,19/3/2024 15:00,20/3/2024 00:30,-29.2361003,140.9978872,147.91,4 or more SV KF     (4 SVs),2.4,27.5
Solo,92700,19/3/2024 15:20,20/3/2024 00:50,-29.2371778,140.9966253,141.32,3-D least-squares   (8 SVs),0.8,28
Solo,92700,19/3/2024 15:40,20/3/2024 01:10,-29.2396556,140.9946542,144.07,3-D least-squares   (6 SVs),1,27.5
Solo,92700,19/3/2024 16:00,20/3/2024 01:30,-29.2427117,140.9935978,142.9,4 or more SV KF     (7 SVs),1,27
Solo,92700,19/3/2024 16:20,20/3/2024 01:50,-29.2458586,140.9937017,150.36,4 or more SV KF     (7 SVs),1,26.5
Solo,92700,19/3/2024 16:40,20/3/2024 02:10,-29.2483731,140.9926919,143.87,4 or more SV KF     (7 SVs),1,26
Solo,92700,19/3/2024 17:00,20/3/2024 02:30,-29.2498119,140.9914692,141.47,4 or more SV KF     (6 SVs),1.2,25.5